"Debitage_Id","Operation","Suboperation","Lot","Count","Mass_g","Average_Lenghtmm","Category","Raw_material","Comments","Researcher"
1058,4,"J",2,14,13,18.5,0,NA,"6/23/13 reanalyzed JB","MCR"
1059,4,"J",2,6,23,30,0,NA,"6/23/13 reanalyzed JB","MCR"
1060,4,"J",2,6,6,10.3,0,NA,"6/23/13 reanalyzed JB","MCR"
1062,4,"J",2,15,8,16.6,0,NA,"6/23/13 reanalyzed JB","MCR"
1064,2,"A",3,3,1,16.9,0,NA,"6/23/13 reanalyzed JB","MCR"
1065,4,"G",2,4,7.4,23.5,0,NA,"6/23/13 reanalyzed JB","EM"
1066,4,"G",2,16,82.7,25.9,0,NA,"6/23/13 reanalyzed JB","EM"
1072,4,"G",2,1,1.6,24.2,0,NA,"6/23/13 reanalyzed JB","EM"
1073,3,"A",1,10,3.3,12.6,0,NA,"6/23/13 reanalyzed JB","MCR"
1080,2,"B",3,3,2.2,15.5,0,NA,"6/23/13 reanalyzed JB","KP"
1083,1,"A",6,1,13.9,33.1,0,NA,"6/23/13 reanalyzed JB","KP"
53,1,"B",8,1,55.9,66.8,0,NA,"6/23/13 reanalyzed JB","KP"
1089,1,"B",9,9,10,22.9,0,NA,"6/23/13 reanalyzed JB","KP & RG"
1090,1,"B",9,4,18,33.5,0,NA,"6/23/13 reanalyzed JB","KP & RG"
1091,1,"B",9,2,26.9,39.8,0,NA,"6/23/13 reanalyzed JB","KP & RG"
1092,1,"B",2,2,23.8,37,0,NA,"Reanalysed JB","KP & RG"
1101,1,"B",2,1,20.6,41.4,0,NA,"Reanalysed JB","KP & RG"
1102,1,"B",2,4,20.4,25.1,0,NA,"Reanalysed JB","KP & RG"
1103,1,"B",2,2,1.5,18.8,0,NA,"Reanalysed JB","KP & RG"
1104,2,"A",1,8,8.4,23,0,NA,"Reanalysed JB","KP & RG"
1105,2,"A",1,3,42.1,44.8,0,NA,"Reanalysed JB","KP & RG"
1106,2,"A",1,10,1.9,19.2,0,NA,"Reanalysed JB","KP & RG"
1107,2,"A",1,2,6.8,19.6,0,NA,"Reanalysed JB","KP & RG"
